Index,Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
0,16-Mar-22,Warriors,Celtics,W,L,110,88,Celtics won 1
1,17-Dec-21,Celtics,Warriors,L,W,107,111,Warriors won 1
2,17-Apr-21,Celtics,Warriors,W,L,119,114,Celtics won 5
3,2-Feb-21,Warriors,Celtics,W,L,111,107,Celtics won 4
4,30-Jan-20,Celtics,Warriors,W,L,119,104,Celtics won 3
5,15-Nov-19,Warriors,Celtics,W,L,105,100,Celtics won 2
6,5-Mar-19,Warriors,Celtics,W,L,128,95,Celtics won 1
7,26-Jan-19,Celtics,Warriors,L,W,111,115,Warriors won 2
8,27-Jan-18,Warriors,Celtics,L,W,105,109,Warriors won 1
9,16-Nov-17,Celtics,Warriors,W,L,92,88,Celtics won 2
10,8-Mar-17,Warriors,Celtics,W,L,99,86,Celtics won 1
11,18-Nov-16,Celtics,Warriors,L,W,88,104,Warriors won 1
12,1-Apr-16,Warriors,Celtics,W,L,109,106,Celtics won 1
13,11-Dec-15,Celtics,Warriors,L,W,119,124,Warriors won 5
14,1-Mar-15,Celtics,Warriors,L,W,101,106,Warriors won 4
15,25-Jan-15,Warriors,Celtics,L,W,111,114,Warriors won 3
16,5-Mar-14,Celtics,Warriors,L,W,88,108,Warriors won 2
17,10-Jan-14,Warriors,Celtics,L,W,97,99,Warriors won 1
18,1-Mar-13,Celtics,Warriors,W,L,94,86,Celtics won 1
19,29-Dec-12,Warriors,Celtics,L,W,83,101,Warriors won 1
20,14-Mar-12,Warriors,Celtics,W,L,105,103,Celtics won 3
21,4-Mar-11,Celtics,Warriors,W,L,107,103,Celtics won 2
22,22-Feb-11,Warriors,Celtics,W,L,115,93,Celtics won 1
23,28-Dec-09,Warriors,Celtics,L,W,99,103,Warriors won 1
24,18-Nov-09,Celtics,Warriors,W,L,109,95,Celtics won 1
25,26-Dec-08,Warriors,Celtics,L,W,89,99,Warriors won 1
26,26-Nov-08,Celtics,Warriors,W,L,119,111,Celtics won 1
27,20-Feb-08,Warriors,Celtics,L,W,117,119,Warriors won 1
28,21-Nov-07,Celtics,Warriors,W,L,105,82,Celtics won 1
29,29-Dec-06,Warriors,Celtics,L,W,100,110,Warriors won 3
30,20-Dec-06,Celtics,Warriors,L,W,95,96,Warriors won 2
